Question,Answer
when album love always released?,"Love Always is the debut album of American R&B duo K-Ci & JoJo , released on June 17, 1997, by MCA Records."
when barack obama was born?,"Barack Hussein Obama II (; born August 4, 1961) is the 44th and current President of the United States , the first African American to hold the office."
when can you use a defibulator?,"Defibrillation is a common treatment for life-threatening cardiac dysrhythmias , ventricular fibrillation , and pulseless ventricular tachycardia."
when did abraham lincoln write the emancipation proclamation?,"The Emancipation Proclamation was an order issued to all segments of the Executive branch (including the Army and Navy) of the United States by President Abraham Lincoln on January 1, 1863, during the American Civil War."
when did andrea doria sink?,"Pronounced was an ocean liner for the Italian Line (Società di navigazione Italia) home ported in Genoa , Italy, most famous for its sinking in 1956, when 52 people died (51 from immediate impact)."
when did charles dickens live?,Charles John Huffam Dickens (; 7 February 1812 – 9 June 1870) was an English writer and social critic.
when did classification of races begin?,"First used to denote national affiliations, the term began to be used to relate to physical traits in the 17th century."
when did daylight savings time start?,The modern idea of daylight saving was first proposed in 1895 by George Vernon Hudson and it was first implemented during the First World War.
when did dr.carter g woodson die?,"Carter Godwin Woodson (December 19, 1875April 3, 1950) was an African-American historian , author , journalist and the founder of the Association for the Study of African American Life and History."
when did egg mcmuffin get invented?,The Egg McMuffin is the signature breakfast sandwich; it was invented by the late McDonald's franchisee Herb Peterson in the late 1960s and was introduced nationwide in 1972.
when did Emperor Justinian die?,"Justinian I (c. 482 – 14 November 565), commonly known as Justinian the Great, was Byzantine Emperor from 527 to 565."
when did expos become nationals?,"After being purchased by MLB in 2002, the team was moved before the season to Washington and renamed the Nationals, the first relocation since the second Washington Senators moved to Arlington, Texas , and became the Texas Rangers in."
when did freddie mercury die?,"Freddie Mercury (born Farrokh Bulsara; Gujarati); 5 September 1946 – 24 November 1991) was a British musician, singer and songwriter, best known as the lead vocalist and lyricist of the rock band Queen."
when did gary moore die?,"Robert William Gary Moore (4 April 1952 – 6 February 2011), was a Northern Irish musician, most widely recognised as a singer and guitarist."
when did george washington died?,"George Washington ( – , 1799) was the first President of the United States (1789–1797), the commander-in-chief of the Continental Army during the American Revolutionary War , and one of the Founding Fathers of the United States."
when did germans enter paris in ww2?,The Liberation of Paris (also known as the Battle for Paris) took place during World War II from 19 August 1944 until the surrender of the occupying German garrison on 25 August.
when did hitler kill himself?,Adolf Hitler committed suicide by gunshot on 30 April 1945 in his Führerbunker in Berlin.
when did jack lalanne die?,"Francois Henri ""Jack"" LaLanne (September 26, 1914 - January 23, 2011) was an American fitness , exercise , and nutritional expert and motivational speaker who is sometimes called ""the godfather of fitness"" and the ""first fitness superhero""."
when did kurt cobain kill himself?,"On April 8, 1994, Cobain was found dead at his home in Seattle , the victim of what was officially ruled a suicide by a self-inflicted shotgun wound to the head."
when did lucy stone died?,"Lucy Stone (August 13, 1818 – October 19, 1893) was a prominent American abolitionist and suffragist , and a vocal advocate and organizer promoting rights for women."
when did marlins start?,The Miami Marlins began play in the 1993 season as the Florida Marlins.
when did ms.drgs go into effect?,"DRGs have been used in the US since 1982 to determine how much Medicare pays the hospital for each ""product"", since patients within each category are clinically similar and are expected to use the same level of hospital resources."
when did pearl harbor get bombed?,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan)."
when did playstation 3 first launch?,The launch of the PlayStation 3 into the Japanese market on 10 November 2006 marked the second major seventh generation entertainment system to be released.
when did proof die?,"DeShaun Dupree Holton (October 2, 1973 – April 11, 2006), better known by his stage name Proof, was an American rapper and actor from Detroit , Michigan."
